pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,sy_dist,ra,dec,discoverymethod,disc_year
Kepler-245 c,2.18,26.7,17.460812,568.0,25.152,5100.0,0.795,0.856,861.527,291.6389972,42.4363482,Transit,2014
Kepler-397 b,2.46,6.62,22.250949,539.0,20.01,5307.0,0.767,0.844,969.0,295.8940373,42.3805156,Transit,2014
Kepler-1046 b,1.71,3.57,14.37508035,786.0,101.4,5913.0,1.04,1.04,721.534,296.7558056,46.9982799,Transit,2016
KMT-2021-BLG-1898L b,14.0,232.01473711,,,,,,0.48,6900.0,265.691875,-27.3758389,Microlensing,2022
Kepler-536 b,3.1,9.8,1.827082299,1877.0,892.812,5524.0,0.89,0.92,462.322,297.7363605,49.637101,Transit,2016
Kepler-379 c,2.29,5.86,62.784697,530.0,19.793,6054.0,1.306,1.125,731.274,295.7010981,38.9458209,Transit,2014
OGLE-2018-BLG-1700L b,12.9,1400.0,,,,,,0.42,7600.0,269.956042,-28.5286389,Microlensing,2020
TOI-4329 b,16.81347105,143.02278315,2.9223,2027.12,3990.5716,6000.0,2.31,1.538,717.128,329.5639152,71.1316048,Transit,2022
Kepler-306 b,1.52,2.92,4.646186,830.0,127.255,4954.0,0.719,0.75,775.679,288.5387145,40.6160545,Transit,2014
Kepler-121 b,2.34,6.08,3.177422,997.0,220.489,5311.0,0.701,0.859,510.523,286.1621273,39.6780204,Transit,2014
TOI-238 c,2.18,6.7,8.465651,696.0,58.3,5059.0,0.733,0.79,80.5407,349.2310814,-18.6066463,Radial Velocity,2024
